Source;Target;Weight;Year
Lera-Romero, G.;Miranda-Bront, J.J.;1;2019
Wang, Q.J.;Mesz, B.;1;2019
Wang, Q.J.;Riera, P.;1;2019
Wang, Q.J.;Guha, A.;1;2019
Wang, Q.J.;Spence, C.;1;2019
Mesz, B.;Riera, P.;1;2019
Mesz, B.;Guha, A.;1;2019
Mesz, B.;Spence, C.;1;2019
Riera, P.;Guha, A.;1;2019
Riera, P.;Spence, C.;1;2019
Guha, A.;Spence, C.;1;2019
Borthagaray, J.P.;Del Pezzo, L.M.;1;2018
Borthagaray, J.P.;Martínez, S.;1;2018
Del Pezzo, L.M.;Martínez, S.;1;2018
Gur, Y.;Saban, D.;1;2018
Gur, Y.;Stier-Moses, N.E.;1;2018
Saban, D.;Stier-Moses, N.E.;1;2018
Fernandez Slezak, D.;Sigman, M.;1;2018
Fernandez Slezak, D.;Cecchi, G.A.;1;2018
Sigman, M.;Cecchi, G.A.;2;2015
Montero, A.;Méndez-Díaz, I.;1;2017
Montero, A.;Miranda-Bront, J.J.;1;2017
Méndez-Díaz, I.;Miranda-Bront, J.J.;1;2017
Van Ryzin, G.;Vulcano, G.;1;2017
L'Ecuyer, P.;Maillé, P.;2;2017
L'Ecuyer, P.;Stier-Moses, N.E.;1;2017
L'Ecuyer, P.;Tuffin, B.;2;2017
Maillé, P.;Stier-Moses, N.E.;1;2017
Maillé, P.;Tuffin, B.;2;2017
Stier-Moses, N.E.;Tuffin, B.;1;2017
L'Ecuyer, P.;Stier-Moses, N.;1;2017
Maillé, P.;Stier-Moses, N.;1;2017
Stier-Moses, N.;Tuffin, B.;1;2017
Amalric, M.;Wang, L.;1;2017
Amalric, M.;Pica, P.;1;2017
Amalric, M.;Sigman, M.;1;2017
Amalric, M.;Dehaene, S.;1;2017
Wang, L.;Pica, P.;1;2017
Wang, L.;Sigman, M.;1;2017
Wang, L.;Dehaene, S.;1;2017
Pica, P.;Sigman, M.;1;2017
Pica, P.;Dehaene, S.;1;2017
Sigman, M.;Dehaene, S.;1;2017
Carrillo, F.;Mota, N.;1;2016
Carrillo, F.;Copelli, M.;1;2016
Carrillo, F.;Cecchi, G.;1;2016
Carrillo, F.;Slezak, D.F.;2;2015
Mota, N.;Copelli, M.;1;2016
Mota, N.;Cecchi, G.;1;2016
Mota, N.;Slezak, D.F.;1;2016
Copelli, M.;Cecchi, G.;1;2016
Copelli, M.;Slezak, D.F.;1;2016
Cecchi, G.;Slezak, D.F.;1;2016
Paz, L.;Goldin, A.P.;1;2015
Paz, L.;Diuk, C.;1;2015
Paz, L.;Sigman, M.;1;2015
Goldin, A.P.;Diuk, C.;1;2015
Goldin, A.P.;Sigman, M.;1;2015
Diuk, C.;Sigman, M.;1;2015
Nikolova, E.;Stier-Moses, N.E.;1;2015
Merener, N.;Vicchi, L.;1;2015
Carrillo, F.;Cecchi, G.A.;1;2015
Carrillo, F.;Sigman, M.;1;2015
Cecchi, G.A.;Slezak, D.F.;1;2015
Sigman, M.;Slezak, D.F.;1;2015
