Source;Target;Weight;Year
Arteaga, D.;Arenas, J.;1;2019
Arteaga, D.;Paz, F.;1;2019
Arteaga, D.;Tupia, M.;1;2019
Arteaga, D.;Bruzza, M.;1;2019
Arenas, J.;Paz, F.;3;2018
Arenas, J.;Tupia, M.;1;2019
Arenas, J.;Bruzza, M.;1;2019
Paz, F.;Tupia, M.;1;2019
Paz, F.;Bruzza, M.;1;2019
Tupia, M.;Bruzza, M.;8;2016
Villegas, B.;Flores, K.M.;1;2019
Villegas, B.;Pacheco-Barrios, K.;1;2019
Villegas, B.;Elias, D.;2;2017
Flores, K.M.;Pacheco-Barrios, K.;1;2019
Flores, K.M.;Elias, D.;2;2019
Pacheco-Barrios, K.;Elias, D.;1;2019
Abarca, V.E.;Flores, K.M.;1;2019
Abarca, V.E.;Elias, D.;1;2019
Dias, G.P.;Bruzza, M.;1;2019
Dias, G.P.;Tupia, M.;2;2019
Cáceres, S.V.;Pow-Sang, J.A.;1;2019
Scharff, M.;Rivera Campos, R.A.;1;2019
Scharff, M.;Merker, L.;2;2018
Scharff, M.;Behn, C.;2;2018
Scharff, M.;Zimmermann, K.;2;2018
Rivera Campos, R.A.;Merker, L.;1;2019
Rivera Campos, R.A.;Behn, C.;1;2019
Rivera Campos, R.A.;Zimmermann, K.;1;2019
Merker, L.;Behn, C.;2;2018
Merker, L.;Zimmermann, K.;2;2018
Behn, C.;Zimmermann, K.;2;2018
Espinoza, J.;Loarte, P.;2;2018
Espinoza, J.;Paz, F.;2;2018
Espinoza, J.;Flores, L.;1;2019
Loarte, P.;Paz, F.;2;2018
Loarte, P.;Flores, L.;1;2019
Paz, F.;Flores, L.;1;2019
Chang, A.;Montalvo, L.;1;2019
Chang, A.;Paz, F.;2;2018
Montalvo, L.;Paz, F.;1;2019
Diaz, E.;Flores, S.;1;2019
Diaz, E.;Paz, F.;3;2019
Flores, S.;Paz, F.;1;2019
Lin Gao, X.W.;Véliz, B.M.;1;2019
Lin Gao, X.W.;Paz, F.;1;2019
Véliz, B.M.;Paz, F.;1;2019
Diaz, E.;Arenas, J.J.;1;2019
Diaz, E.;Moquillaza, A.;2;2019
Arenas, J.J.;Moquillaza, A.;1;2019
Arenas, J.J.;Paz, F.;3;2018
Moquillaza, A.;Paz, F.;11;2017
Palomino, M.;Dávila, A.;2;2017
Palomino, M.;Melendez, K.;2;2017
Dávila, A.;Melendez, K.;9;2016
Navarro, R.;Zapata, C.;1;2019
Navarro, R.;Vega, V.;1;2019
Navarro, R.;Chiroque, E.;1;2019
Zapata, C.;Vega, V.;1;2019
Zapata, C.;Chiroque, E.;1;2019
Vega, V.;Chiroque, E.;1;2019
Monzon, J.;Cueva, R.;1;2019
Monzon, J.;Tupia, M.;1;2019
Monzon, J.;Bruzza, M.;1;2019
Cueva, R.;Tupia, M.;5;2016
Cueva, R.;Bruzza, M.;1;2019
Nuñez, A.;Moquillaza, A.;1;2019
Nuñez, A.;Paz, F.;1;2019
Chanco, C.;Moquillaza, A.;1;2019
Chanco, C.;Paz, F.;1;2019
Moquillaza, A.;Falconi, F.;1;2019
Falconi, F.;Paz, F.;1;2019
Aguirre, J.;Moquillaza, A.;2;2019
Aguirre, J.;Paz, F.;2;2019
Paz, F.;Paz, F.A.;10;2015
Diaz, E.;Paz, F.A.;1;2019
Paz, F.A.;Moquillaza, A.;2;2018
Aquino, F.;Pacheco, D.;1;2019
Aquino, F.;Angeleri, P.;1;2019
Aquino, F.;Melendez, K.;1;2019
Aquino, F.;Dávila, A.;1;2019
Pacheco, D.;Angeleri, P.;1;2019
Pacheco, D.;Melendez, K.;1;2019
Pacheco, D.;Dávila, A.;1;2019
Angeleri, P.;Melendez, K.;1;2019
Angeleri, P.;Dávila, A.;1;2019
Díaz, J.;Villareal-Freire, Á.P.;1;2019
Díaz, J.;Aguire Aguirre, A.F.;1;2019
Díaz, J.;Paz, F.;2;2019
Villareal-Freire, Á.P.;Aguire Aguirre, A.F.;1;2019
Villareal-Freire, Á.P.;Paz, F.;1;2019
Aguire Aguirre, A.F.;Paz, F.;1;2019
Chumpitaz, D.;Pereda, K.;1;2019
Chumpitaz, D.;Espinoza, K.;1;2019
Chumpitaz, D.;Díaz, J.;1;2019
