Source;Target;Weight;Year
Gamess, E.;Garroz, J.;1;2019
Martin, A.;Gamess, E.;1;2018
Martin, A.;Urribarri, D.;1;2018
Martin, A.;Gómez, J.;1;2018
Gamess, E.;Urribarri, D.;1;2018
Gamess, E.;Gómez, J.;1;2018
Urribarri, D.;Gómez, J.;1;2018
Andrade, L.;Quintero, J.;1;2018
Andrade, L.;Gamess, E.;1;2018
Andrade, L.;Russoniello, A.;1;2018
Quintero, J.;Gamess, E.;1;2018
Quintero, J.;Russoniello, A.;1;2018
Gamess, E.;Russoniello, A.;1;2018
Swenson, B.;Gamess, E.;1;2017
Swenson, B.;Ricardo, M.;1;2017
Swenson, B.;Henderson, T.R.;1;2017
Gamess, E.;Ricardo, M.;1;2017
Gamess, E.;Henderson, T.R.;1;2017
Ricardo, M.;Henderson, T.R.;1;2017
Gamess, E.;Contreras, M.;1;2015
