Source;Target;Weight;Year
Acevedo, D.;Negri, P.;1;2017
Acevedo, D.;Buemi, M.E.;1;2017
Acevedo, D.;Fernandez, F.G.;1;2017
Acevedo, D.;Mejail, M.;1;2017
Negri, P.;Buemi, M.E.;1;2017
Negri, P.;Fernandez, F.G.;1;2017
Negri, P.;Mejail, M.;1;2017
Buemi, M.E.;Fernandez, F.G.;1;2017
Buemi, M.E.;Mejail, M.;1;2017
Fernandez, F.G.;Mejail, M.;1;2017
Pedre, S.;Krajník, T.;1;2016
Pedre, S.;Todorovich, E.;1;2016
Pedre, S.;Borensztejn, P.;1;2016
Krajník, T.;Todorovich, E.;1;2016
Krajník, T.;Borensztejn, P.;1;2016
Todorovich, E.;Borensztejn, P.;1;2016
Calderon, S.;Saenz, A.;1;2015
Calderon, S.;Mora, R.;1;2015
Calderon, S.;Orozco, I.;1;2015
Calderon, S.;Buemi, M.E.;1;2015
Saenz, A.;Mora, R.;1;2015
Saenz, A.;Orozco, I.;1;2015
Saenz, A.;Buemi, M.E.;1;2015
Mora, R.;Orozco, I.;1;2015
Mora, R.;Buemi, M.E.;1;2015
Orozco, I.;Buemi, M.E.;1;2015
Cristóforis, P.D.;Nitsche, M.A.;1;2016
Cristóforis, P.D.;Krajník, T.;1;2016
Cristóforis, P.D.;Mejail, M.;1;2016
Nitsche, M.A.;Krajník, T.;1;2016
Nitsche, M.A.;Mejail, M.;1;2016
Krajník, T.;Mejail, M.;1;2016
Bianchi, M.;Heredia, N.;1;2015
Bianchi, M.;Gómez-Fernández, F.;1;2015
Bianchi, M.;Pardo, A.;1;2015
Bianchi, M.;Mejail, M.;1;2015
Heredia, N.;Gómez-Fernández, F.;1;2015
Heredia, N.;Pardo, A.;1;2015
Heredia, N.;Mejail, M.;1;2015
Gómez-Fernández, F.;Pardo, A.;1;2015
Gómez-Fernández, F.;Mejail, M.;1;2015
Pardo, A.;Mejail, M.;1;2015
