Source;Target;Weight;Year
Debattista, J.;Fernández, J.D.;1;2019
Debattista, J.;Vidal, M.-E.;1;2019
Debattista, J.;Umbrich, J.;1;2019
Fernández, J.D.;Vidal, M.-E.;1;2019
Fernández, J.D.;Umbrich, J.;1;2019
Vidal, M.-E.;Umbrich, J.;1;2019
Lytra, I.;Vidal, M.-E.;1;2018
Lytra, I.;Orlandi, F.;1;2018
Lytra, I.;Attard, J.;1;2018
Vidal, M.-E.;Orlandi, F.;1;2018
Vidal, M.-E.;Attard, J.;1;2018
Orlandi, F.;Attard, J.;1;2018
Halilaj, L.;Grangel-González, I.;2;2016
Halilaj, L.;Vidal, M.-E.;3;2016
Halilaj, L.;Lohmann, S.;1;2018
Halilaj, L.;Auer, S.;3;2016
Grangel-González, I.;Vidal, M.-E.;2;2016
Grangel-González, I.;Lohmann, S.;1;2018
Grangel-González, I.;Auer, S.;2;2016
Vidal, M.-E.;Lohmann, S.;1;2018
Vidal, M.-E.;Auer, S.;8;2016
Lohmann, S.;Auer, S.;1;2018
Musyaffa, F.A.;Halilaj, L.;1;2018
Musyaffa, F.A.;Li, Y.;1;2018
Musyaffa, F.A.;Auer, S.;1;2018
Musyaffa, F.A.;Vidal, M.-E.;1;2018
Halilaj, L.;Li, Y.;1;2018
Li, Y.;Auer, S.;1;2018
Li, Y.;Vidal, M.-E.;1;2018
Collarana, D.;Galkin, M.;3;2016
Collarana, D.;Lange, C.;2;2016
Collarana, D.;Auer, S.;5;2016
Collarana, D.;Vidal, M.-E.;5;2016
Galkin, M.;Lange, C.;2;2016
Galkin, M.;Auer, S.;4;2016
Galkin, M.;Vidal, M.-E.;4;2016
Lange, C.;Auer, S.;2;2016
Lange, C.;Vidal, M.-E.;2;2016
Gangemi, A.;Navigli, R.;1;2018
Gangemi, A.;Vidal, M.-E.;1;2018
Gangemi, A.;Hollink, L.;1;2018
Gangemi, A.;Tordai, A.;1;2018
Navigli, R.;Vidal, M.-E.;1;2018
Navigli, R.;Hollink, L.;1;2018
Navigli, R.;Tordai, A.;1;2018
Vidal, M.-E.;Hollink, L.;1;2018
Vidal, M.-E.;Tordai, A.;1;2018
Hollink, L.;Tordai, A.;1;2018
Acosta, M.;Simperl, E.;2;2015
Acosta, M.;Flöck, F.;2;2015
Acosta, M.;Vidal, M.-E.;6;2015
Simperl, E.;Flöck, F.;2;2015
Simperl, E.;Vidal, M.-E.;2;2015
Flöck, F.;Vidal, M.-E.;2;2015
Pasarella, E.;Vidal, M.-E.;2;2016
Pasarella, E.;Zoltan, C.;2;2016
Vidal, M.-E.;Zoltan, C.;2;2016
Montoya, G.;Skaf-Molli, H.;3;2015
Montoya, G.;Molli, P.;3;2015
Montoya, G.;Vidal, M.-E.;5;2015
Skaf-Molli, H.;Molli, P.;3;2015
