Source;Target;Weight;Year
Fernandez Slezak, D.;Sigman, M.;1;2018
Fernandez Slezak, D.;Cecchi, G.A.;1;2018
Sigman, M.;Cecchi, G.A.;2;2015
Amalric, M.;Wang, L.;1;2017
Amalric, M.;Pica, P.;1;2017
Amalric, M.;Sigman, M.;1;2017
Amalric, M.;Dehaene, S.;1;2017
Wang, L.;Pica, P.;1;2017
Wang, L.;Sigman, M.;1;2017
Wang, L.;Dehaene, S.;1;2017
Pica, P.;Sigman, M.;1;2017
Pica, P.;Dehaene, S.;1;2017
Sigman, M.;Dehaene, S.;1;2017
Carrillo, F.;Mota, N.;1;2016
Carrillo, F.;Copelli, M.;1;2016
Carrillo, F.;Cecchi, G.;1;2016
Carrillo, F.;Slezak, D.F.;2;2015
Mota, N.;Copelli, M.;1;2016
Mota, N.;Cecchi, G.;1;2016
Mota, N.;Slezak, D.F.;1;2016
Copelli, M.;Cecchi, G.;1;2016
Copelli, M.;Slezak, D.F.;1;2016
Cecchi, G.;Slezak, D.F.;1;2016
Paz, L.;Goldin, A.P.;1;2015
Paz, L.;Diuk, C.;1;2015
Paz, L.;Sigman, M.;1;2015
Goldin, A.P.;Diuk, C.;1;2015
Goldin, A.P.;Sigman, M.;1;2015
Diuk, C.;Sigman, M.;1;2015
Carrillo, F.;Cecchi, G.A.;1;2015
Carrillo, F.;Sigman, M.;1;2015
Cecchi, G.A.;Slezak, D.F.;1;2015
Sigman, M.;Slezak, D.F.;1;2015
